id,location,latitude,longitude,postalCode,walkScore,propertyType,style,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage,price
329,"2722+Stone+Crescent,Redwood+Park+Ottawa",45.3407321,-75.7945363,K2H 6Z1,34,Residential,Detached,1963,4,2,3,0,30.48,15.24,"600,000"
330,"936+Vances+Side+Road,West+Carleton+Ottawa",45.4475298,-76.0351851,,�,,2 1/2 Storey,,5,5,,,,,
331,"1384+Emerald+Gate+Avenue,Emerald+Woods+Ottawa",45.3425463,-75.6382424,K1T 1C7,27,Residential,Detached,1958,3,3,8,2,31.58,25.61,"699,000"
332,"25+-+202+St+Patrick+Street,Lower+Town+Ottawa",45.4302203,-75.6940897,K1N 5K3,94,Residential,Apartment,2012,2,1,0,0,0,0,"424,900"
333,"1980+Yorks+Corners+Road,Edwards+Ottawa",45.2828091,-75.4453876,K0A 1V0,1,Residential,Detached,,3,2,20,3,122.22,38.1,"389,900"
334,"501+-+111+Champagne+Avenue,West+Centre+Town+Ottawa",45.3986044,-75.7111356,K1S 4P4,79,Residential,Apartment,2015,3,2,1,1,0,0,"525,000"
335,"1611+Henri+Lauzon+Street,Chapel+Hill+Ottawa",45.4624321,-75.5315983,K1C 7R7,55,Residential,Row Unit,2005,3,3,3,1,33.84,6.2,"489,900"
336,"1103+-+333+Chapel+Street,Sandy+Hill+Ottawa",45.4263783,-75.6768759,K1N 8Y8,80,Residential,Apartment,1974,2,2,1,0,0,0,"427,500"
337,"211+Harcourt+Avenue,Carlingwood+Ottawa",45.374072,-75.7766943,K2B 5C2,65,Residential,Detached,1962,4,2,3,0,27.43,15.24,"599,999"
338,"1585+Botsford+Street,Riverview+Park+Ottawa",45.4069277,-75.6391129,K1G 0R2,53,Residential,Detached,1958,3,2,3,0,32.06,15.24,"577,000"
339,"315+Levis+Street,Vanier+Ottawa",45.435989,-75.6565637,K1L 6H1,77,Residential,Detached,1955,5,3,3,0,27.16,12.95,"479,000"
340,"315+Levis+Street,Vanier+Ottawa",45.435989,-75.6565637,K1L 6H1,77,Residential,Detached,1955,5,3,3,0,27.16,12.95,"479,000"
341,"2024+Boisfranc+Circle,Avalon+Ottawa",45.4550557,-75.4700953,K4A 4Z6,27,Residential,Row Unit,2005,3,3,3,1,30.98,6.2,"449,900"
342,"1752+Bonaventure+Terrace,Convent+Glen+South+Ottawa",45.4719622,-75.5348172,K1C 1W4,42,Residential,Detached,1976,3,2,3,1,35.05,12.19,"474,900"
343,"513+Windermere+Avenue,Mckellar+Park+Ottawa",45.3842289,-75.7649411,K2A 2W3,51,Residential,Detached,1950,4,2,2,0,30.48,15.24,"1,150,000"
344,"2327+Whitehaven+Crescent,Whitehaven+Ottawa",45.3664914,-75.7767098,K2B 5H2,51,Residential,Detached,1963,4,4,6,2,38.85,18.29,"1,099,000"
345,"308+-+10+Rosemount+Avenue,Hintonburg+Ottawa",45.4018172,-75.7263782,K1Y 1P4,90,Residential,Apartment,2016,2,1,1,1,0,0,"535,000"
346,"29+Mohawk+Crescent,Qualicum+Ottawa",45.3439825,-75.8057352,K2H 7G7,33,Residential,Detached,1962,4,4,6,2,38.69,20.4,"995,000"
347,"1942+Montmere+Avenue,Notting+Hill+Ottawa",45.4617535,-75.4518314,K4A 0C9,22,Residential,Detached,2008,3,3,6,2,32,10.8,"599,900"
348,"241+Currell+Avenue,Westboro-hampton+Park+Ottawa",45.3837023,-75.7436696,K1Z 7J4,67,Residential,Detached,1987,3,3,3,1,15.24,12.19,"699,900"
349,"158+Marier+Street,Vanier+Ottawa",45.4396768,-75.665691,K1L 5S1,73,Residential,Semi Detached,2020,4,4,2,1,27.43,6.1,"899,900"
350,"1211+-+255+Bay+Street,Centretown+Ottawa",45.4153695,-75.7037667,K1R 0C5,92,Residential,Apartment,2016,1,1,1,1,0,0,"479,900"
351,"80+-+3205+Uplands+Drive,Hunt+Club+Ottawa",45.3503144,-75.6796084,K1V 9T4,11,Residential,Row Unit,1979,3,3,2,1,0,0,"319,900"
352,"838+Giant+Cedars+Crescent,Riverside+South+Ottawa",45.276689,-75.6849283,K1V 1N9,15,Residential,Detached,2000,3,3,5,1,33,13.45,"579,900"
353,"134+Portrush+Avenue,Longfields+Ottawa",45.2766892,-75.7379839,K2J 5J1,61,Residential,Detached,2006,4,3,6,2,29.92,10.67,"599,900"
354,"215+Felicia+Crescent,Barrhaven+East+Ottawa",45.2716842,-75.7108332,K2G 7G2,35,Residential,Row Unit,2006,3,4,2,1,27,8.11,"479,900"
355,"146+-+2570+Southvale+Crescent,Sheffield+Glen+Industrial+Park+Ottawa",45.3969879,-75.6132498,K1B 5B6,38,Residential,Row Unit,1981,3,2,1,0,0,0,"295,000"
356,"14+-+3333+Mccarthy+Road,Hunt+Club+Ottawa",45.354222,-75.6730132,K1V 9X5,46,Residential,Row Unit,1985,3,2,1,0,0,0,"333,000"
357,"75+Selhurst+Avenue,Barrhaven+East+Ottawa",45.2835491,-75.7047252,K2G 7C9,13,Residential,Row Unit,2005,3,3,2,1,30,7.87,"499,900"
358,"12+Chapleau+Avenue,Lindenlea+-+New+Edinburgh+Ottawa",45.4424046,-75.6732545,K1M 1E3,81,Multifamily,,1937,,,3,2,30.48,15.24,"1,150,000"
359,"74+Laurentian+Place,Civic+Hospital+Ottawa",45.3947884,-75.7188898,K1Y 4E2,62,Residential,Detached,1943,3,2,4,3,30.18,11.43,"899,000"
360,"2160+Descartes+Street,Notting+Hill+Ottawa",45.4581611,-75.4629305,K4A 4C4,23,Residential,Detached,2003,4,4,6,2,32.78,21.7,"599,900"
361,"30+Waverley+Street,Golden+Triangle+Ottawa",45.418053,-75.682014,K1W 1C4,70,Residential,Row Unit,,4,4,2,1,27.12,5.23,"990,000"
362,"34+-+200+Owl+Drive,Hunt+Club+Ottawa",45.3537855,-75.6662647,K1V 9P7,38,Residential,Row Unit,1978,3,2,1,0,0,0,"369,900"
363,"99+Thistledown+Court,Pheasant+Run+Ottawa",45.2818038,-75.7541934,K2J 1J4,55,Residential,Row Unit,1977,3,2,1,0,0,0,"299,900"
364,"1005+-+1380+Prince+Of+Wales+Drive,Carleton+Square+Ottawa",,,K2C 3N5,53,Residential,Apartment,1975,2,1,1,1,0,0,"249,900"
365,"1800+Dorset+Drive,Playfair+Park+Ottawa",45.3884137,-75.6448531,K1H 5T8,32,Residential,Detached,1966,4,3,4,1,30.48,18.9,"679,900"
366,"949+Cobble+Hill+Drive,Barrhaven+Ottawa",45.2706045,-75.779589,K2J 5P8,20,Residential,Row Unit,2015,3,3,2,1,35.32,9.93,"529,900"
367,"D+-+3062+Councillor's+Way,Blossom+Park+Ottawa",45.3529535,-75.6275771,K1T 2S9,37,Residential,Stacked,1986,2,2,1,0,0,0,"285,000"
368,"121+Porcupine+Trail,Dunrobin+Ottawa",45.427153,-76.0210418,K0A 1T0,�,Residential,Detached,1992,4,3,6,2,71.66,36.17,"549,900"
369,"146+Marquette+Avenue,Vanier+Ottawa",45.4410193,-75.6650818,K1L 5J8,70,Residential,Detached,,3,2,4,0,30.48,12.19,"425,000"
370,"216+-+250+Brittany+Drive,Ottawa",45.4450311,-75.6470377,K1K 4M1,61,Residential,Apartment,1989,2,1,0,0,0,0,"269,900"
371,"844+River+Road,Ottawa",45.249286,-75.6946754,K4M 1B2,5,Residential,Detached,1972,4,3,6,2,71.03,36.58,"525,000"
372,"390+Dollard+Street,Vanier+Ottawa",45.4305408,-75.6561225,K1L 7B3,71,Residential,Detached,,3,2,3,0,26.73,13.72,"499,900"
373,"785+Hancock+Crescent,Fallingbrook+And+Ridgemount+Ottawa",45.4790532,-75.4852677,K4A 3N1,31,Residential,Row Unit,1994,4,4,2,1,33.64,8.15,"419,900"
374,"301+-+108+Third+Avenue,Glebe+Ottawa",45.4006505,-75.6941576,K1S 2J8,88,Residential,Apartment,2002,2,2,1,0,0,0,"850,000"
375,"609+-+98+Richmond+Road,Westboro-hampton+Park+Ottawa",45.3860207,-75.7647877,K1Z 0B2,81,Residential,Apartment,2015,1,2,1,1,0,0,"424,900"
376,"439+Silverstone+Way,Chapman+Mills+Ottawa",45.2714901,-75.7350418,K2J 3V1,61,Residential,Row Unit,2014,3,3,3,1,27,6.2,"524,880"
377,"184+Rochester+Street,West+Centre+Town+Ottawa",45.4074821,-75.7112152,K1R 7M6,90,Multifamily,,,,,1,1,30.48,8,"700,000"
378,"306+-+360+Mcleod+Street,Centre+Town+Ottawa",45.4124411,-75.6907544,K2P 1A9,94,Residential,Apartment,2014,1,1,1,1,0,0,"399,900"
379,"184+Rochester+Street,West+Centre+Town+Ottawa",45.4074821,-75.7112152,K1R 7M6,90,Multifamily,,,,,1,1,30.48,8,"700,000"
380,"764+Adams+Avenue,Elmvale+Acres/urbandale+Ottawa",45.3924301,-75.6343636,K1G 2Y2,27,Residential,Detached,1962,3,2,3,0,30.48,16.76,"569,000"
381,"1408+Tours+Place,Chateauneuf+Ottawa",45.4643178,-75.5301061,K1C 3C9,56,Residential,Detached,1983,4,4,6,2,0,10.36,"589,000"
382,"217+-+825+Cahill+Drive,Hunt+Club+Ottawa",45.3465944,-75.6667278,K1V 9N8,46,Residential,Row Unit,1978,3,2,1,0,0,0,"249,900"
383,"147+Glenora+Street,Old+Ottawa+East+Ottawa",45.4076683,-75.6779166,K1S 1J4,64,Residential,Detached,1910,6,3,2,0,30.18,10.06,"749,900"
384,"918+Fletcher+Circle,Ottawa+Ottawa",45.319221,-75.93302,K2T 0B7,13,Residential,Row Unit,2013,3,3,3,1,33,7.52,"549,900"
385,"1103+-+2020+Jasmine+Crescent,Beacon+Hill+South+Ottawa",45.4398684,-75.5936621,K1J 8K5,38,Residential,Apartment,1975,3,2,1,0,0,0,"235,000"
386,"202+-+333+Chapel+Street,Sandy+Hill+Ottawa",45.4301608,-75.6808419,K1N 8Y8,80,Residential,Apartment,1975,2,2,1,1,0,0,"384,000"
387,"934+Hare+Avenue,Glabar+Park+Ottawa",45.3681748,-75.7626704,K2A 3J4,48,Lots/Acreage,,,,,,,41.28,24.38,"898,000"
388,"833+Quartet+Avenue,Riverside+South+Ottawa",45.2694015,-75.6776454,K4M 0E2,1,Residential,Row Unit,2019,3,4,3,1,32.96,6.1,"619,900"
389,"17+Woodbury+Crescent,Hunt+Club+Park+Ottawa",45.3679912,-75.6162383,K1G 5C9,30,Residential,Row Unit,1989,3,3,3,1,30.44,5.94,"429,000"
390,"1159+Chimney+Hill+Way,Ottawa",45.4441404,-75.607255,K1J 8Z9,43,Residential,Row Unit,1984,3,3,2,0,0,0,"325,000"
391,"359+Holland+Avenue,Civic+Hospital+Ottawa",45.3946256,-75.7285955,K1Y 0Y7,75,Residential,Semi Detached,1940,3,2,2,1,31.7,7.7,"699,000"
392,"285+Scout+Street,Central+Park+Ottawa",45.3673566,-75.739709,K2C 4E7,39,Residential,Detached,2005,4,3,4,2,30.33,10.67,"699,000"
393,"18+Newbury+Avenue,Parkwood+Hills+Ottawa",45.3573221,-75.7249858,K2E 6K8,45,Residential,Semi Detached,1963,5,2,3,0,30.48,10.67,"460,000"
394,"747+Courtenay+Avenue,Carlingwood+Ottawa",45.3759892,-75.7634596,K2A 3B9,65,Residential,Detached,,3,3,2,0,30.48,15.24,"749,000"
395,"395+Echo+Drive,Old+Ottawa+East+Ottawa",45.4075003,-75.6807121,K1S 1N5,73,Residential,Detached,1955,3,3,5,1,20.12,12.19,"1,999,000"
396,"403+-+1356+Meadowlands+Dr+Drive,Parkwood+Hills+Ottawa",45.3539668,-75.7290711,K2E 6K6,70,Residential,Apartment,1970,2,1,1,1,0,0,"299,900"
397,"2035+Avenue+O+Avenue,Eastway+Gardens+Ottawa",45.4165703,-75.6455519,K1G 0B1,36,Residential,Row Unit,1997,3,2,3,1,32.72,6.35,"424,900"
398,"1609+-+179+Metcalfe+Street,Centre+Town+Ottawa",45.4189118,-75.693733,K2P 0W1,97,Residential,Apartment,2014,2,2,1,1,0,0,"649,900"
399,"934+Hare+Avenue,Glabar+Park+Ottawa",45.3681748,-75.7626704,K2A 3J4,48,Lots/Acreage,,,,,,,41.28,24.38,"898,000"
400,"33+Vermont+Avenue,Rideau+Crest/davidson+Heights+Ottawa",45.2872645,-75.7108548,K2G 6M2,22,Residential,Detached,1999,4,4,6,2,40.81,23.94,"685,000"
401,"255+Hinchey+Avenue,Hintonburg+Ottawa",45.4048612,-75.7290647,K1Y 1L9,80,Lots/Acreage,,,,,,,29.26,10.06,"595,000"
402,"7240+Philnor+Street,Greely+Ottawa",45.26044,-75.5514781,K4P 1B2,20,Residential,Detached,1972,3,2,6,3,45.72,30.48,"529,900"
403,"154+Lady+Lochead+Lane,Historical+Elmwood+Ottawa",45.3360635,-75.9882395,K0A 1L0,1,Residential,Detached,2013,5,4,10,5,120.39,69.36,"1,499,900"
404,"280+Holmwood+Avenue,Glebe+Ottawa",45.3965375,-75.6940823,K1S 2R3,56,Residential,Semi Detached,,3,1,1,0,27.43,6.74,"750,000"
405,"316+Riversedge+Crescent,Riverside+South+Ottawa",45.2761262,-75.6981749,K1V 0Y7,22,Residential,Semi Detached,2006,3,3,3,1,30.33,7.88,"499,900"
406,"27+Rhapsody+Lane,Gloucester+Ottawa",45.3493354,-75.6809598,,33,,2-Storey,,3,2,,,,,"424,900"
407,"1726+Tache+Way,Fallingbrook+Ottawa",45.4768963,-75.4792871,K4A 2S9,38,Residential,Detached,1989,3,3,6,2,33.5,15.2,"524,900"
408,"969+Kevin+Crescent,Cumberland+Village+Ottawa",45.5169494,-75.4147866,K4C 1C5,5,Residential,Detached,1963,2,2,8,2,47.6,19.51,"499,900"
409,"3600+Cambrian+Road,Half+Moon+Bay+Ottawa",45.2527635,-75.7387832,K2J 0S5,1,Residential,Detached,2009,4,3,6,1,25.12,10.36,"599,900"
410,"91+Goulburn+Avenue,Sandy+Hill+Ottawa",45.4260751,-75.6743007,K1N 8C9,76,Residential,Row Unit,1907,4,3,2,0,30.48,4.94,"799,000"
411,"305+-+222+Bruyere+Street,Lower+Town/+Byward+Market+Ottawa",45.4353746,-75.6888198,K1N 5E3,87,Residential,Apartment,1985,2,2,1,1,0,0,"498,000"
412,"148+Cedardown+Private,Stonebridge+Ottawa",45.2429959,-75.7201636,K2J 0W3,4,Residential,Row Unit,2009,3,3,2,1,36.58,8.1,"499,000"
413,"1206+Maitland+Avenue,Copeland+Park+Ottawa",45.3640649,-75.7479901,K2C 2C3,38,Residential,Semi Detached,1964,3,2,2,0,25.91,11.2,"385,000"
414,"855+Melwood+Avenue,Mckellar+Heights+Ottawa",45.3717145,-75.7619621,K2A 3C2,64,Residential,Detached,,3,4,7,3,40.23,27.74,"1,049,000"
415,"11+Lavina+Crescent,Leslie+Park+Ottawa",45.3381497,-75.7868475,K2H 7P1,33,Residential,Detached,1965,3,2,5,0,33.53,19.81,"599,900"
416,"83+Langford+Crescent,Kanata+Lakes+Ottawa",45.3240915,-75.9176414,K2K 2N6,20,Residential,Detached,1993,4,4,6,2,41.79,15,"1,250,000"
417,"625+Donat+Street,Vanier+Ottawa",45.4383652,-75.6519897,K1K 3L8,72,Residential,Detached,1974,6,3,5,0,35.47,4.14,"900,000"
418,"2121+Algonquin+Avenue,Woodroffe/ottawa+River+Parkway+Ottawa",45.3817642,-75.7744459,K2A 0B9,38,Residential,Detached,1988,4,4,6,2,30.48,15.24,"1,999,950"
419,"148+Mcgillivray+Street,Ottawa+East+Ottawa",45.407035,-75.6802973,K1S 1K6,73,Residential,Detached,1942,3,2,1,0,17.68,10.73,"799,900"
420,"1327+Dorchester+Avenue,Carlington+Ottawa",45.3771641,-75.7317171,K1Z 8E8,52,Residential,Detached,1950,4,2,2,0,30.48,15.54,"499,900"
421,"727+Lakeridge+Drive,Avalon+Ottawa",45.4465274,-75.4748637,K4A 0N5,28,Residential,Stacked,2010,2,3,1,0,0,0,"345,000"
422,"3799+Legault+Road,Hammond+Ottawa",45.422809,-75.207207,K0A 2A0,1,Residential,Detached,1977,3,1,4,1,67.71,30.48,"344,900"
423,"1101+-+224+Lyon+Street,Centre+Town+Ottawa",45.4159256,-75.7028331,K1R 5E6,92,Residential,Apartment,2015,1,1,0,0,0,0,"379,900"
424,"85+-+3180+Bannon+Way,Blossom+Park+Ottawa",45.3453665,-75.6287632,K1T 1T1,43,Residential,Row Unit,1976,3,2,1,0,0,0,"299,000"
425,"1627+St+Barbara+Street,Blossom+Park+Ottawa",45.3526517,-75.6323641,K1T 1L8,36,Residential,Detached,1999,4,4,6,2,38.28,10.83,"889,900"
426,"6+-+4+Sherbrooke+Avenue,Hintonburg+Ottawa",45.4024407,-75.7257525,K1Y 1R7,89,Residential,Stacked,2008,2,1,1,0,0,0,"494,500"
427,"29+Stewart+Street,Sandy+Hill+Ottawa",45.4259893,-75.6866861,K1N 6H7,93,Multifamily,,1900,,,2,,30.18,4.87,"999,500"
428,"103+Rideau+Terrace,Lindenlea+Ottawa",45.4439193,-75.6769916,K1M 0Y8,73,Residential,Detached,2003,3,3,3,1,24.14,13.72,"1,150,000"
429,"18+-+251+Bruyere+Street,Lower+Town+Ottawa",45.4347131,-75.6900575,K1N 5E5,80,Residential,Row Unit,1981,2,2,1,0,0,0,"509,000"
430,"27+Stewart+Street,Sandy+Hill+Ottawa",45.4259762,-75.686717,K1N 6H7,93,Multifamily,,1900,,,1,0,30.18,6.49,"999,500"
431,"22+Hendrie+Court,Katimavik+Ottawa",45.3079339,-75.9057761,K2L 4A4,38,Residential,Row Unit,1990,4,3,2,1,38.59,4.66,"449,900"
432,"1047+Arrowhead+Place,Convent+Glen+North+Ottawa",45.4763554,-75.5505454,K1C 2S5,15,Residential,Detached,1981,3,2,3,1,30.48,10.31,"399,900"
433,"118+-+214+Viewmount+Drive,Viewmount+Woods+Ottawa",45.3441897,-75.7252465,K2E 7X3,36,Residential,Apartment,1987,2,1,1,0,0,0,"259,900"
434,"33+Tartan+Drive,Barrhaven+Ottawa",45.2597865,-75.7674539,K2J 2W3,61,Residential,Detached,1987,3,2,3,1,31.79,10.7,"449,900"
435,"401+-+22+Perkins+Street,West+Centretown+Ottawa",45.4124466,-75.7103979,K1R 7G5,86,Residential,Apartment,2017,1,1,1,1,0,0,"480,000"
436,"275+First+Avenue,Ottawa",45.4030129,-75.6931366,K1S 2G7,83,Residential,Detached,1915,5,4,4,1,31.39,15.24,"2,200,000"
437,"219+-+316+Bruyere+Street,Lowertown+Ottawa",45.4342726,-75.6915928,K1N 0C3,75,Residential,Apartment,2016,2,2,1,1,0,0,"476,000"
438,"312+Elderberry+Terrace,Chatelaine+Village+Ottawa",45.4834747,-75.5108187,K1E 1Z1,47,Residential,Semi Detached,1978,3,3,3,1,30.5,7.01,"389,900"
439,"550+Chardonnay+Drive,Avalon+Ottawa",45.4597171,-75.480135,K4A 4J7,55,Residential,Row Unit,2001,3,3,2,1,34.7,6.92,"449,900"
440,"2099+Manotick+Station+Road,Greely+Ottawa",45.2101514,-75.5971869,K4P 1K3,1,Residential,Detached,1987,3,2,10,2,89.65,45.72,"499,900"
441,"53+Bay+Hill+Ridge,Amberwood+Village+Ottawa",45.2725281,-75.9179956,K2S 1B9,13,Residential,Row Unit,1980,2,2,1,1,0,0,"389,900"
442,"36+Strathbury+Street,Centrepointe+Ottawa",45.3366303,-75.7718873,K2G 5P1,32,Residential,Detached,1992,4,4,6,2,35.05,9.39,"799,900"
443,"273+Bronson+Avenue,Centretown+Ottawa",45.4121351,-75.7058917,K1R 6H7,91,Multifamily,,1907,,,1,,33.18,6.95,"849,900"
444,"273+Bronson+Avenue,Centretown+Ottawa",45.4121351,-75.7058917,K1R 6H7,91,Multifamily,,1907,,,1,,33.18,6.95,"849,900"
445,"902+-+234+Rideau+Street,Sandy+Hill+Ottawa",45.4276049,-75.6876874,K1N 0A9,96,Residential,Apartment,2011,1,1,1,1,0,0,"449,000"
446,"5+-+5+Timberview+Way,Westcliffe+Estates+Ottawa",45.3162542,-75.8454011,K2H 9M6,37,Residential,Stacked,1986,2,3,1,0,0,0,"289,000"
447,"6157+Rideau+Valley+Drive,Manotick+Ottawa",45.1950351,-75.6417347,K4M 1B3,6,Residential,Detached,1987,5,6,10,3,0,75.99,"1,990,000"
448,"237+Royal+Avenue,Westboro+Ottawa",45.3970806,-75.7578616,K2A 1T8,63,Residential,Semi Detached,2014,3,4,3,1,30.51,7.62,"1,299,900"
449,"205+-+323+Winona+Avenue,Westboro+North+Ottawa",45.3950737,-75.7542261,K1Z 5H3,80,Residential,Apartment,2010,2,2,1,1,0,0,"499,800"
450,"1628+Royal+Orchard+Avenue,Cumberland+Estates+Ottawa",45.5051738,-75.3761925,K4C 1A9,1,Residential,Detached,1994,4,4,10,2,257.86,45.35,"750,000"
451,"502+Stratas+Court,Katimavik+Ottawa",45.3067297,-75.8803417,K2L 3K7,39,Residential,Row Unit,1984,2,2,2,1,0,0,"259,900"
452,"162+Grovemont+Drive,Barrhaven+Ottawa",45.2684792,-75.7120036,K2G 7A3,31,Residential,Detached,2004,4,4,4,1,26.5,13.94,"619,900"
453,"36+Withrow+Avenue,St.+Claire+Gardens+Ottawa",45.3536601,-75.7397636,K2G 2H8,81,Residential,Detached,2014,4,3,6,2,27.41,16.01,"994,900"
454,"574+Courtenay+Avenue,Mckellar+Park/highland+Park+Ottawa",45.3813625,-75.7671408,K2A 3B3,49,Residential,Detached,,4,3,3,1,28.8,15.24,"800,000"
455,"1601+-+3580+Rivergate+Way,Quinterra+Ottawa",45.345651,-75.6937513,K1V 1V5,20,Residential,Apartment,2007,2,2,2,2,0,0,"729,900"
456,"2861+Millstream+Way,Blossom+Park+Ottawa",45.3509106,-75.6518947,K1T 4A3,74,Residential,Semi Detached,2002,3,4,2,1,26.64,5.31,"489,900"
457,"41+Argue+Drive,Borden+Farm+Ottawa",45.3542468,-75.7152354,K2E 6S3,23,Residential,Detached,,3,3,8,2,32.46,24.69,"695,000"
458,"72+Nighthawk+Crescent,Pine+Meadows+Ottawa",45.2947629,-75.84963,K2M 2V2,24,Residential,Semi Detached,2004,3,3,4,2,35.1,11.05,"575,000"
459,"825+Scala+Avenue,Notting+Hill+Ottawa",45.4632454,-75.4647843,K4A 4M2,39,Residential,Detached,2002,3,3,4,2,0,13.5,"749,900"
460,"901+-+95+Bronson+Avenue,Centretown+Ottawa",45.3975746,-75.6976697,K1R 1E2,84,Residential,Apartment,2005,3,2,2,2,0,0,"1,030,000"
461,"3323+Kodiak+Street,South+Keys+Ottawa",45.3585493,-75.6503553,K1V 7S7,56,Residential,Detached,1968,4,4,3,1,30.48,19.51,"589,000"
462,"37+Jolliet+Avenue,Beechwood+Village+Ottawa",45.443652,-75.6689745,K1L 5H4,76,Residential,Detached,1954,4,2,2,0,12.19,15.24,"499,900"
463,"1+-+179+Wilbrod+Street,Sandy+Hill+Ottawa",45.4272904,-75.6806856,,92,Single Family,,1937,2,1,,,,,"549,900"
464,"3027+Councillor's+Way,Blossom+Park+Ottawa",45.351621,-75.630183,,37,Single Family,,1986,3,2,,,,,"329,900"
465,"14+Spinney+Way,Barrhaven/woodland+Trail+Ottawa",45.2807518,-75.7242349,K2J 4Y8,43,Residential,Detached,2002,3,3,4,2,31,14.21,"664,888"
466,"359+Fifth+Avenue,Glebe+Ottawa",45.3980373,-75.6970285,K1S 2N6,57,Residential,Detached,1936,5,3,6,2,31.39,12.19,"1,380,000"
467,"69+Ashburn+Drive,Borden+Frm/+Stewart+Frm+Ottawa",45.3587288,-75.719563,K2E 6N4,16,Residential,Detached,,4,2,2,0,30.48,19.81,"620,000"
468,"40+Bunting+Lane,Bridlewood/pine+Hill+Ottawa",45.2922972,-75.8468621,K2M 2P7,24,Residential,Row Unit,1996,2,3,3,1,38.67,7.9,"579,900"
469,"2648+Don+Street,Britannia+Ottawa",45.3646607,-75.791669,K2B 6Y3,59,Multifamily,,1978,,,4,,30.48,15.24,"899,900"
470,"91+Sheldrake+Drive,Glencairn+Ottawa",45.2880672,-75.8839389,K2L 1T1,25,Residential,Detached,1970,2,2,4,0,31.39,16.15,"449,000"
471,"201+-+383+Cumberland+Street,Ottawa",45.4335699,-75.6918342,K1N 1J7,97,Residential,Apartment,2004,1,1,0,0,0,0,"310,000"
472,"1722+Cedarlakes+Way,Cedar+Lakes+Ottawa",45.2428757,-75.5880349,K4P 1G8,1,Residential,Detached,2016,5,4,10,4,69.15,30.52,"1,250,000"
473,"2110+Grafton+Crescent,Beacon+Hill+North+Ottawa",45.4549408,-75.5963134,K1J 6K8,42,Residential,Detached,1970,4,2,3,1,30.48,16.76,"750,000"
474,"186+Kamloops+Avenue,Revelstoke/mooneys+Bay+Ottawa",45.354928,-75.693501,K1V 7C9,4,Residential,Detached,1995,4,4,6,2,35.77,18.29,"1,275,000"
475,"17+Bellingham+Place,Hunt+Club+Park+Ottawa",45.3663695,-75.6315155,K1T 4B1,22,Residential,Detached,2002,4,3,4,2,31.96,10.69,"649,000"
476,"882+Ashenvale+Way,Avalon+Ottawa",45.4499335,-75.4653619,K4A 0S1,14,Residential,Row Unit,2011,3,3,3,1,30,6.2,"429,900"
477,"1901+-+556+Laurier+Avenue,Centretown+Ottawa",45.415238,-75.7067154,K1R 7X2,89,Residential,Apartment,1985,2,2,1,1,0,0,"429,900"
478,"135+Oakfield+Crescent,Barrhaven+Longfields+Ottawa",45.2753829,-75.7360135,K2J 5H8,57,Residential,Detached,2004,6,4,4,2,31.39,11.57,"779,900"
479,"812+-+300+Lisgar+Street,Centre+Town+Ottawa",45.4168584,-75.6964804,K2P 0E2,97,Residential,Apartment,2013,1,1,0,0,0,0,"349,000"
480,"213+-+354+Gladstone+Avenue,Centretown+Ottawa",45.4143543,-75.6888137,,87,Single Family,,2012,1,1,,,,,"429,900"
481,"8+-+2210+Tenth+Line+Road,Avalon+Ottawa",45.4538842,-75.484218,K4A 0X7,65,Residential,Apartment,2013,2,2,1,0,0,0,"329,900"
482,"100+Ontario+Street,Overbrook/rideau+River+Ottawa",45.4278076,-75.6638616,K1K 1K9,68,Residential,Detached,1950,5,2,4,1,29.72,15.24,"699,900"
483,"1665+Teakdale+Avenue,Chapel+Hill+Ottawa",45.4534507,-75.5272366,K1C 6M2,43,Residential,Detached,1987,4,3,4,2,34.83,12.32,"650,000"
484,"14+Orangeville+Street,West+Centre+Town+Ottawa",45.403717,-75.7050747,K1S 3C8,76,Residential,Row Unit,1905,3,2,2,0,25.6,4.3,"299,000"
485,"D+-+769+Cedar+Creek+Drive,Findlay+Creek+Ottawa",45.3167071,-75.5953724,K1T 0B3,45,Residential,Apartment,2009,2,1,1,0,0,0,"299,900"
486,"3045+Victoria+Heights+Crescent,Blossom+Park/victoria+Heights+Ottawa",45.3498532,-75.6262893,K1T 3M8,46,Residential,Detached,1988,3,3,2,1,0,0,"449,900"
487,"2205+-+1380+Prince+Of+Wales+Drive,Carleton+Square+Ottawa",45.3310779,-75.7014445,K2C 3N5,51,Residential,Apartment,1975,2,1,1,1,0,0,"241,800"
488,"1202+-+111+Champagne+Avenue,Little+Italy+Ottawa",45.3986044,-75.7111356,K1S 4P4,79,Residential,Apartment,2015,1,1,1,1,0,0,"338,500"
489,"6687+Russel+Road,Carslbad+Springs+Ottawa",45.3698533,-75.4421163,K1H 7Z2,5,Residential,Detached,1946,3,0,10,0,598.72,265.61,"1,100,000"
490,"24+-+3535+St+Joseph+Boulevard,Terra+Nova+Estates+Ottawa",45.4878225,-75.492181,K1C 1T1,10,Residential,Detached,1976,2,1,2,0,0,0,"115,000"
491,"1+-+1074+Prince+Street,Carlington+Ottawa",45.3761879,-75.7307628,K1Z 6G3,47,Residential,Semi Detached,2020,5,5,3,2,15.24,15.24,"969,000"
